open,high,low,close,time
70775.99000000,71275.00000000,70646.16000000,70986.30000000,2024-06-05T06:00:00
70986.29000000,71140.30000000,70672.08000000,70837.96000000,2024-06-05T07:00:00
70837.96000000,70991.73000000,70768.00000000,70947.58000000,2024-06-05T08:00:00
70947.58000000,71260.00000000,70826.15000000,71168.53000000,2024-06-05T09:00:00
71168.54000000,71196.00000000,70884.61000000,70999.99000000,2024-06-05T10:00:00
70999.99000000,71150.00000000,70850.00000000,71119.05000000,2024-06-05T11:00:00
71119.06000000,71379.21000000,71032.60000000,71200.00000000,2024-06-05T12:00:00
71199.99000000,71243.60000000,70880.40000000,70927.57000000,2024-06-05T13:00:00
70927.57000000,71032.08000000,70825.00000000,70894.19000000,2024-06-05T14:00:00
70894.20000000,70908.59000000,70725.03000000,70800.33000000,2024-06-05T15:00:00
70800.33000000,71093.96000000,70694.61000000,70971.71000000,2024-06-05T16:00:00
70971.70000000,71120.00000000,70652.60000000,70940.01000000,2024-06-05T17:00:00
70940.01000000,71169.99000000,70588.00000000,70730.70000000,2024-06-05T18:00:00
70730.70000000,71080.00000000,70383.66000000,70867.99000000,2024-06-05T19:00:00
70867.99000000,71731.35000000,70775.00000000,71580.00000000,2024-06-05T20:00:00
71580.01000000,71758.00000000,71268.00000000,71312.77000000,2024-06-05T21:00:00
71312.78000000,71704.00000000,71231.48000000,71628.98000000,2024-06-05T22:00:00
71628.98000000,71748.22000000,70895.15000000,71096.81000000,2024-06-05T23:00:00
71096.80000000,71398.73000000,70871.20000000,71279.95000000,2024-06-06T00:00:00
71279.95000000,71357.68000000,71160.00000000,71196.02000000,2024-06-06T01:00:00
71196.02000000,71211.34000000,71036.31000000,71138.42000000,2024-06-06T02:00:00
71138.43000000,71274.11000000,71090.00000000,71144.86000000,2024-06-06T03:00:00
71144.85000000,71294.47000000,70700.00000000,71108.00000000,2024-06-06T04:00:00
71108.00000000,71183.99000000,70955.99000000,71018.06000000,2024-06-06T05:00:00
71018.06000000,71189.97000000,70900.00000000,71124.00000000,2024-06-06T06:00:00
71124.01000000,71237.02000000,71103.70000000,71160.00000000,2024-06-06T07:00:00
71160.01000000,71188.00000000,71012.34000000,71050.00000000,2024-06-06T08:00:00
71050.00000000,71106.46000000,70909.70000000,71054.52000000,2024-06-06T09:00:00
71054.51000000,71084.40000000,70800.00000000,70895.45000000,2024-06-06T10:00:00
70895.45000000,71037.72000000,70804.00000000,70887.99000000,2024-06-06T11:00:00
70888.00000000,71069.62000000,70853.23000000,71021.47000000,2024-06-06T12:00:00
71021.46000000,71039.50000000,70862.50000000,70904.01000000,2024-06-06T13:00:00
70904.01000000,71147.28000000,70904.00000000,70978.88000000,2024-06-06T14:00:00
70978.89000000,71000.00000000,70892.50000000,70988.00000000,2024-06-06T15:00:00
70988.01000000,71204.59000000,70935.01000000,71170.01000000,2024-06-06T16:00:00
71170.01000000,71443.60000000,71052.97000000,71187.17000000,2024-06-06T17:00:00
71187.18000000,71535.95000000,71000.00000000,71123.09000000,2024-06-06T18:00:00
71123.10000000,71520.00000000,71020.57000000,71464.57000000,2024-06-06T19:00:00
71464.56000000,71700.00000000,71250.61000000,71300.00000000,2024-06-06T20:00:00
71300.00000000,71379.93000000,70825.00000000,70948.95000000,2024-06-06T21:00:00
70948.95000000,71225.01000000,70800.00000000,71098.31000000,2024-06-06T22:00:00
71098.30000000,71158.87000000,70871.57000000,71075.00000000,2024-06-06T23:00:00
71075.00000000,71078.73000000,70450.00000000,70479.49000000,2024-06-07T00:00:00
70479.49000000,70742.49000000,70117.64000000,70720.01000000,2024-06-07T01:00:00
70720.01000000,70859.81000000,70667.00000000,70740.51000000,2024-06-07T02:00:00
70740.51000000,70920.76000000,70664.00000000,70901.01000000,2024-06-07T03:00:00
70901.01000000,70958.89000000,70748.80000000,70799.06000000,2024-06-07T04:00:00
70799.06000000,70883.60000000,70740.00000000,70883.05000000,2024-06-07T05:00:00
70883.05000000,70900.00000000,70670.48000000,70840.01000000,2024-06-07T06:00:00
70840.00000000,70872.06000000,70663.59000000,70824.08000000,2024-06-07T07:00:00
70824.09000000,71015.20000000,70741.20000000,70989.68000000,2024-06-07T08:00:00
70989.69000000,71274.70000000,70989.68000000,71226.52000000,2024-06-07T09:00:00
71226.52000000,71449.98000000,71170.00000000,71290.60000000,2024-06-07T10:00:00
71290.60000000,71353.06000000,71162.38000000,71265.70000000,2024-06-07T11:00:00
71265.70000000,71310.80000000,71068.16000000,71110.00000000,2024-06-07T12:00:00
71110.01000000,71192.40000000,71048.12000000,71117.20000000,2024-06-07T13:00:00
71117.20000000,71307.28000000,71060.50000000,71302.07000000,2024-06-07T14:00:00
71302.06000000,71434.86000000,71202.40000000,71377.38000000,2024-06-07T15:00:00
71377.37000000,71700.00000000,71303.40000000,71699.99000000,2024-06-07T16:00:00
71700.00000000,71997.02000000,70633.21000000,71234.09000000,2024-06-07T17:00:00
71234.09000000,71655.04000000,71056.70000000,71534.60000000,2024-06-07T18:00:00
71534.60000000,71544.06000000,71170.58000000,71430.94000000,2024-06-07T19:00:00
71430.93000000,71430.93000000,70850.00000000,71111.54000000,2024-06-07T20:00:00
71111.55000000,71208.89000000,70779.00000000,70873.47000000,2024-06-07T21:00:00
70873.48000000,70873.48000000,69800.37000000,69803.59000000,2024-06-07T22:00:00
69803.59000000,69887.99000000,68420.00000000,69154.43000000,2024-06-07T23:00:00
69154.44000000,69448.00000000,68800.00000000,69255.00000000,2024-06-08T00:00:00
69255.01000000,69318.30000000,68978.52000000,69307.99000000,2024-06-08T01:00:00
69308.00000000,69377.85000000,69203.08000000,69250.01000000,2024-06-08T02:00:00
69250.01000000,69585.96000000,69184.00000000,69499.00000000,2024-06-08T03:00:00
69499.00000000,69499.00000000,69323.54000000,69355.60000000,2024-06-08T04:00:00
69355.60000000,69482.75000000,69296.41000000,69401.50000000,2024-06-08T05:00:00
69401.50000000,69475.04000000,69287.28000000,69465.25000000,2024-06-08T06:00:00
69465.24000000,69465.25000000,69387.60000000,69422.11000000,2024-06-08T07:00:00
69422.11000000,69525.00000000,69411.30000000,69432.00000000,2024-06-08T08:00:00
69432.00000000,69466.92000000,69277.96000000,69316.73000000,2024-06-08T09:00:00
69316.74000000,69342.79000000,69232.15000000,69319.99000000,2024-06-08T10:00:00
69320.00000000,69414.89000000,69296.26000000,69333.45000000,2024-06-08T11:00:00
69333.44000000,69582.20000000,69333.44000000,69582.20000000,2024-06-08T12:00:00
69582.20000000,69582.20000000,69381.81000000,69436.42000000,2024-06-08T13:00:00
69436.43000000,69495.99000000,69382.80000000,69443.24000000,2024-06-08T14:00:00
69443.25000000,69495.98000000,69360.01000000,69453.40000000,2024-06-08T15:00:00
69453.39000000,69515.00000000,69318.19000000,69365.93000000,2024-06-08T16:00:00
69365.94000000,69430.00000000,69265.00000000,69360.22000000,2024-06-08T17:00:00
69360.22000000,69430.01000000,69168.02000000,69430.00000000,2024-06-08T18:00:00
69430.01000000,69462.25000000,69309.82000000,69461.69000000,2024-06-08T19:00:00
69461.68000000,69491.36000000,69421.17000000,69430.01000000,2024-06-08T20:00:00
69430.01000000,69470.16000000,69292.22000000,69387.15000000,2024-06-08T21:00:00
69387.16000000,69470.00000000,69336.01000000,69439.99000000,2024-06-08T22:00:00
69440.00000000,69480.00000000,69427.98000000,69454.89000000,2024-06-08T23:00:00
69454.88000000,69490.00000000,69427.88000000,69460.01000000,2024-06-09T00:00:00
69460.00000000,69475.18000000,69313.31000000,69372.73000000,2024-06-09T01:00:00
69372.74000000,69424.47000000,69327.04000000,69404.91000000,2024-06-09T02:00:00
69404.90000000,69404.91000000,69290.28000000,69338.15000000,2024-06-09T03:00:00
69338.15000000,69340.00000000,69292.99000000,69310.46000000,2024-06-09T04:00:00
69310.46000000,69327.99000000,69225.84000000,69268.70000000,2024-06-09T05:00:00
69268.70000000,69346.90000000,69230.00000000,69285.00000000,2024-06-09T06:00:00
69285.01000000,69298.00000000,69139.93000000,69174.93000000,2024-06-09T07:00:00
69174.92000000,69298.00000000,69130.24000000,69259.38000000,2024-06-09T08:00:00
69259.38000000,69306.22000000,69244.64000000,69304.44000000,2024-06-09T09:00:00
69304.44000000,69360.40000000,69234.73000000,69293.47000000,2024-06-09T10:00:00
69293.48000000,69400.00000000,69276.95000000,69391.01000000,2024-06-09T11:00:00
69391.02000000,69425.70000000,69273.47000000,69295.64000000,2024-06-09T12:00:00
69295.64000000,69356.00000000,69283.45000000,69352.15000000,2024-06-09T13:00:00
69352.15000000,69397.19000000,69341.95000000,69369.98000000,2024-06-09T14:00:00
69369.99000000,69373.24000000,69333.07000000,69346.49000000,2024-06-09T15:00:00
69346.50000000,69389.00000000,69333.00000000,69367.69000000,2024-06-09T16:00:00
69367.68000000,69760.00000000,69351.11000000,69712.95000000,2024-06-09T17:00:00
69712.96000000,69777.00000000,69250.01000000,69467.03000000,2024-06-09T18:00:00
69467.04000000,69559.00000000,69264.01000000,69490.12000000,2024-06-09T19:00:00
69490.13000000,69590.37000000,69420.42000000,69508.64000000,2024-06-09T20:00:00
